"table_schema","table_name","constraint_type","constraint_name","column_name","foreign_table_schema","foreign_table_name","foreign_column_name"
"public","services","FOREIGN KEY","recipes_user_id_fkey","user_id","public","users","id"
"public","services","PRIMARY KEY","recipes_pkey","id","public","services","id"
"public","step_event_subscriptions","FOREIGN KEY","step_event_subscriptions_run_id_fkey","run_id","public","flow_runs","id"
"public","step_event_subscriptions","PRIMARY KEY","step_event_subscriptions_pkey","id","public","step_event_subscriptions","id"
"public","step_runs","FOREIGN KEY","step_runs_run_id_fkey","run_id","public","flow_runs","id"
"public","step_runs","PRIMARY KEY","step_runs_pkey","id","public","step_runs","id"
"public","subscription_state","PRIMARY KEY","subscription_state_pkey","id","public","subscription_state","id"
"public","sync_commands","FOREIGN KEY","sync_commands_machine_id_fkey","machine_id","public","sync_machines","id"
"public","sync_commands","PRIMARY KEY","sync_commands_pkey","id","public","sync_commands","id"
"public","sync_flows","FOREIGN KEY","sync_flows_recipe_id_fkey","service_id","public","services","id"
"public","sync_flows","FOREIGN KEY","sync_flows_user_id_fkey","user_id","public","users","id"
"public","sync_flows","FOREIGN KEY","sync_flows_preset_id_fkey","preset_id","public","presets","id"
"public","sync_flows","PRIMARY KEY","sync_flows_pkey","id","public","sync_flows","id"
"public","sync_folders","FOREIGN KEY","sync_folders_machine_id_fkey","machine_id","public","sync_machines","id"
"public","sync_folders","FOREIGN KEY","sync_folders_data_source_id_fkey","data_source_id","public","data_sources","id"
"public","sync_folders","PRIMARY KEY","sync_folders_pkey","id","public","sync_folders","id"
"public","sync_machines","FOREIGN KEY","sync_machines_organization_id_fkey","organization_id","public","organizations","id"
"public","sync_machines","FOREIGN KEY","sync_machines_created_by_user_id_fkey","created_by_user_id","public","users","id"
"public","sync_machines","PRIMARY KEY","sync_machines_pkey","id","public","sync_machines","id"
"public","usage_transactions","FOREIGN KEY","usage_transactions_billing_period_linked_payment_2_fkey","billing_period_linked_payment_2","public","payment_events","id"
"public","usage_transactions","FOREIGN KEY","usage_transactions_organization_id_fkey","organization_id","public","organizations","id"
"public","usage_transactions","FOREIGN KEY","usage_transactions_payment_event_id_fkey","payment_event_id","public","payment_events","id"
"public","usage_transactions","FOREIGN KEY","usage_transactions_order_id_fkey","order_id","public","orders","id"
"public","usage_transactions","FOREIGN KEY","usage_transactions_billing_period_linked_payment_1_fkey","billing_period_linked_payment_1","public","payment_events","id"
"public","usage_transactions","PRIMARY KEY","usage_transactions_pkey","id","public","usage_transactions","id"
"public","users","FOREIGN KEY","referrer_partner_id_fkey","referrer_partner_id","public","partners","id"
"public","users","FOREIGN KEY","referrer_partner_id_fkey","referrer_partner_id","public","partners","id"
"public","users","FOREIGN KEY","users_organization_id_fkey","organization_id","public","organizations","id"
"public","users","FOREIGN KEY","referrer_partner_id_fkey","referrer_partner_id","public","partners","id"
"public","users","FOREIGN KEY","referrer_partner_id_fkey","referrer_partner_id","public","partners","id"
"public","users","PRIMARY KEY","users_pkey","id","public","users","id"
